CourseID,CourseName,CourseCategory,CourseType,CourseLevel,CoursePrice,CourseDuration,CourseRating,TeacherID,TeacherName,Age,Gender,Expertise,YearsOfExperience,TeacherRating,PastEnrollments,PastRevenue,PastAverageRevenue,PastRevenueStd,UniqueUsers,FutureEnrollments,FutureRevenue,DurationBucket,PriceBand,RatingTier,ExperienceBucket,ExpertiseMatch
CR00001,Python Basics,Programming,Paid,Beginner,472.28,11.0,4.74,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,126,59507.28,472.28,0.0,126,38,17946.64,Medium,High,High,Senior,0
CR00002,Java Programming,Programming,Free,Intermediate,0.0,37.7,2.43,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,116,0.0,0.0,0.0,116,33,0.0,Long,Free,Low,Senior,0
CR00003,C++ for Beginners,Programming,Free,Beginner,0.0,19.53,3.85,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,122,0.0,0.0,0.0,122,51,0.0,Medium,Free,Medium,Senior,0
CR00004,Advanced Python,Programming,Free,Beginner,0.0,45.13,2.88,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,116,0.0,0.0,0.0,116,38,0.0,Long,Free,Low,Senior,0
CR00005,Full Stack Development,Programming,Free,Beginner,0.0,28.68,1.28,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,129,0.0,0.0,0.0,129,37,0.0,Long,Free,Low,Senior,0
CR00006,Graphic Design Basics,Design,Paid,Advanced,276.37,48.84,2.72,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,117,32335.29,276.37,0.0,117,39,10778.43,Long,Medium,Low,Senior,0
CR00007,UI/UX Design,Design,Free,Advanced,0.0,48.68,2.61,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,129,0.0,0.0,0.0,129,49,0.0,Long,Free,Low,Senior,0
CR00008,Photoshop Mastery,Design,Free,Advanced,0.0,2.87,1.52,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,114,0.0,0.0,0.0,114,44,0.0,Short,Free,Low,Senior,0
CR00009,Web Design Fundamentals,Design,Free,Beginner,0.0,48.19,4.51,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,121,0.0,0.0,0.0,121,34,0.0,Long,Free,High,Senior,0
CR00010,3D Modeling,Design,Free,Advanced,0.0,15.29,4.45,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,130,0.0,0.0,0.0,130,50,0.0,Medium,Free,High,Senior,0
CR00011,Entrepreneurship 101,Business,Paid,Intermediate,326.02,11.31,2.69,TC00040,Kimberly Miller,49,Male,Cybersecurity,24,4.58,111,36188.22,326.02000000000004,0.0,111,40,13040.8,Medium,High,Low,Senior,0
CR00012,Business Strategy,Business,Paid,Advanced,487.92,36.01,3.64,TC00042,Yolanda Levine,49,Female,Machine Learning,21,4.97,130,63429.6,487.92,0.0,130,43,20980.56,Long,High,Medium,Senior,0
